transcript,met_module,cor,gene_id,region_soy,blast_soy,Phytozome,blast_ara
tr_11662,Module_18,0.742857143,Phvul.001G029300,coding,GLYMA17G35160.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G029300,| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G24026.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink). | chr4:6645986-6646231 REVERSE LENGTH=81
tr_11848,Module_18,0.742857143,Phvul.004G174800,coding,GLYMA07G15060.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G174800,None
tr_5174,Module_18,-0.739285714,Phvul.003G174700,coding,GLYMA17G11350.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G174700,| Symbols:  | Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain | chr3:17280430-17284857 REVERSE LENGTH=1171
tr_10634,Module_18,-0.75,Phvul.003G023000,coding,GLYMA09G21100.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G023000,"| Symbols: ATCSLD1, CSLD1 | cellulose synthase-like D1 | chr2:14036494-14040044 REVERSE LENGTH=1036"
tr_23131,Module_18,-0.75,Phvul.003G146400,coding,GLYMA13G01020.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G146400,| Symbols:  | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr5:23279406-23280968 REVERSE LENGTH=520
tr_21017,Module_18,-0.753571429,Phvul.004G128300,coding,GLYMA09G28210.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G128300,| Symbols:  | glycine-rich protein | chr4:6406551-6407136 FORWARD LENGTH=130
tr_4457,Module_18,-0.757142857,Phvul.001G022100,noncoding,GLYMA14G09110.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G022100,"| Symbols: CYP707A4 | cytochrome P450, family 707, subfamily A, polypeptide 4 | chr3:6673885-6676400 REVERSE LENGTH=468"
tr_5483,Module_18,-0.757476397,Phvul.002G270600,,,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G270600,
tr_16078,Module_18,-0.764285714,Phvul.009G160700,coding,GLYMA04G37920.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G160700,| Symbols: GUT1 | Exostosin family protein | chr5:24839365-24841703 REVERSE LENGTH=415
tr_11593,Module_18,-0.767857143,Phvul.003G095000,coding,GLYMA07G38580.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G095000,| Symbols:  | Family of unknown function (DUF716)  | chr1:20602895-20603797 FORWARD LENGTH=300
tr_14141,Module_18,-0.767857143,Phvul.005G180200,coding,GLYMA13G44470.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G180200,| Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G10440.1); Has 103701 Blast hits to 43153 proteins in 1828 species: Archae - 30; Bacteria - 7385; Metazoa - 38639; Fungi - 11531; Plants - 7727; Viruses - 307; Other Eukaryotes - 38082 (source: NCBI BLink). | chr1:5430446-5435921 REVERSE LENGTH=1335
tr_13316,Module_18,-0.77033096,Phvul.009G196200,coding,GLYMA04G24270.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G196200,"| Symbols:  | Protein of unknown function, DUF593 | chr5:23429406-23430860 REVERSE LENGTH=387"
tr_22677,Module_18,-0.775,Phvul.002G293400,coding,GLYMA08G02180.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G293400,| Symbols: TOPP7 | Calcineurin-like metallo-phosphoesterase superfamily protein | chr4:6847333-6849032 FORWARD LENGTH=322
tr_23790,Module_18,-0.807142857,Phvul.009G195600,coding,GLYMA06G30000.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G195600,| Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr4:13948993-13957840 REVERSE LENGTH=1819
tr_14720,Module_18,-0.810714286,Phvul.007G052600,coding,GLYMA20G27950.4,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G052600,| Symbols: UBQ3 | polyubiquitin 3 | chr5:771976-772896 REVERSE LENGTH=306
tr_2385,Module_18,-0.814285714,Phvul.002G288000,coding,GLYMA05G37950.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G288000,"| Symbols:  | CONTAINS InterPro DOMAIN/s: Nin one binding (NOB1) Zn-ribbon like (InterPro:IPR014881), D-site 20S pre-rRNA nuclease (InterPro:IPR017117); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink). | chr5:16487628-16490012 REVERSE LENGTH=602"
tr_2413,Module_18,-0.864285714,Phvul.010G129000,coding,GLYMA07G04460.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.010G129000,| Symbols:  | Protein kinase superfamily protein | chr2:2287514-2289270 REVERSE LENGTH=462
tr_18824,Module_19,0.928571429,Phvul.004G079000,coding,GLYMA02G07830.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G079000,| Symbols:  | transcription regulator NOT2/NOT3/NOT5 family protein | chr5:6021610-6027031 REVERSE LENGTH=843
tr_11786,Module_19,0.867857143,Phvul.009G043900,coding,GLYMA04G40060.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G043900,| Symbols:  | RING/U-box superfamily protein | chr5:1551593-1553543 FORWARD LENGTH=363
tr_24719,Module_19,0.864285714,Phvul.002G226000,coding,GLYMA07G31330.2,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G226000,| Symbols:  | Protein of unknown function (DUF1218) | chr1:22490430-22491330 REVERSE LENGTH=180
tr_5914,Module_19,0.847038659,Phvul.008G2149000,coding,GLYMA02G43490.2,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G2149000,| Symbols:  | unknown protein; Has 37 Blast hits to 37 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 37; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:1416563-1418291 REVERSE LENGTH=193
tr_2879,Module_19,0.810714286,Phvul.011G038700,coding,GLYMA12G04110.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G038700,"| Symbols: ATPLT5, PMT5, ATPMT5 | polyol/monosaccharide transporter 5 | chr3:6489000-6491209 REVERSE LENGTH=539"
tr_25366,Module_19,0.807142857,Phvul.009G125900,coding,GLYMA04G42800.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G125900,"| Symbols: ATAF1, ANAC002 | NAC (No Apical Meristem) domain transcriptional regulator superfamily protein | chr1:268471-269514 FORWARD LENGTH=289"
tr_25300,Module_19,0.800132264,Phvul.004G075500,coding,GLYMA17G23740.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G075500,"| Symbols: ANAC083, VNI2, NAC083 | NAC domain containing protein 83 | chr5:4196643-4197577 FORWARD LENGTH=252"
tr_21967,Module_19,0.796428571,Phvul.006G198100,coding,GLYMA15G06710.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G198100,| Symbols: PIP | proline iminopeptidase | chr2:6041441-6043475 REVERSE LENGTH=329
tr_15331,Module_19,0.785714286,Phvul.011G020700,coding,GLYMA11G09770.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G020700,| Symbols:  | Major facilitator superfamily protein | chr5:5587851-5592332 REVERSE LENGTH=503
tr_24656,Module_19,0.784573807,Phvul.001G035500,noncoding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G035500,None
tr_19809,Module_19,0.771428571,Phvul.010G045600,coding,GLYMA07G13150.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.010G045600,"| Symbols: ALG12, EBS4 | homolog of asparagine-linked glycosylation 12 | chr1:404627-408485 FORWARD LENGTH=497"
tr_24902,Module_19,0.767857143,Phvul.005G031100,coding,GLYMA11G12220.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G031100,| Symbols:  | ARM repeat superfamily protein | chr1:28655914-28658531 FORWARD LENGTH=811
tr_10116,Module_19,0.767030017,Phvul.003G093800,coding,GLYMA13G22960.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G093800,| Symbols:  | RNA-directed DNA polymerase (reverse transcriptase)-related family protein | chr3:8789471-8793208 FORWARD LENGTH=746
tr_22338,Module_19,0.760714286,Phvul.011G162200,coding,GLYMA06G32870.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G162200,| Symbols:  | unknown protein; Has 158 Blast hits to 158 proteins in 77 species: Archae - 0; Bacteria - 0; Metazoa - 104; Fungi - 0; Plants - 33; Viruses - 0; Other Eukaryotes - 21 (source: NCBI BLink). | chr3:5015432-5017566 FORWARD LENGTH=455
tr_17603,Module_19,0.757142857,Phvul.004G063400,coding,GLYMA19G06110.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G063400,| Symbols:  | Zinc-finger domain of monoamine-oxidase A repressor R1 protein | chr1:25412816-25415530 FORWARD LENGTH=512
tr_4485,Module_19,0.753571429,Phvul.007G253600,coding,GLYMA10G21570.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G253600,| Symbols:  | Remorin family protein | chr2:17471119-17472519 REVERSE LENGTH=274
tr_17209,Module_19,0.753571429,Phvul.009G194200,coding,GLYMA15G24770.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G194200,"| Symbols: ARR12, RR12 | response regulator 12 | chr2:10724490-10726961 REVERSE LENGTH=596"
tr_940,Module_19,-0.753571429,Phvul.007G181200,coding,GLYMA10G29670.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G181200,None
tr_19813,Module_19,-0.753571429,Phvul.009G260100,coding,GLYMA19G45090.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G260100,None
tr_16138,Module_19,-0.757142857,Phvul.002G300600,coding,GLYMA05G36670.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G300600,| Symbols:  | Translation elongation  factor EF1B/ribosomal protein S6 family protein | chr1:23954993-23956205 REVERSE LENGTH=207
tr_16770,Module_19,-0.757142857,Phvul.002G069000,coding,GLYMA01G06740.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G069000,| Symbols:  | unknown protein; Has 38 Blast hits to 38 proteins in 17 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 38; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr2:1035100-1035937 REVERSE LENGTH=170
tr_4118,Module_19,-0.760714286,Phvul.003G276300,coding,GLYMA01G35320.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G276300,| Symbols:  | Amino acid permease family protein | chr1:11418875-11420314 REVERSE LENGTH=479
tr_419,Module_19,-0.764285714,Phvul.003G046500,coding,GLYMA02G12280.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G046500,| Symbols:  | Arabinanase/levansucrase/invertase | chr1:9250269-9251603 REVERSE LENGTH=444
tr_21414,Module_19,-0.764285714,Phvul.003G202400,coding,GLYMA17G09500.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G202400,| Symbols:  | SOUL heme-binding family protein | chr1:5844766-5845539 FORWARD LENGTH=232
tr_5347,Module_19,-0.771428571,Phvul.003G215600,coding,GLYMA17G14490.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G215600,| Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G22758.1); Has 131 Blast hits to 131 proteins in 17 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 131; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr2:11860734-11861306 FORWARD LENGTH=190
tr_23929,Module_19,-0.771428571,Phvul.005G091600,coding,GLYMA13G36320.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G091600,"| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast, chloroplast stroma; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 26 Blast hits to 26 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 26; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:18934342-18934977 FORWARD LENGTH=211"
tr_24899,Module_19,-0.771428571,Phvul.002G098700,coding,GLYMA07G34740.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G098700,| Symbols:  | Cytochrome c | chr5:18175566-18176851 REVERSE LENGTH=175
tr_20399,Module_19,-0.775,Phvul.007G073200,coding,GLYMA20G30120.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G073200,| Symbols: HCF106 | Bacterial sec-independent translocation protein mttA/Hcf106 | chr5:21286896-21288613 FORWARD LENGTH=260
tr_10669,Module_19,-0.778571429,Phvul.004G001400,coding,GLYMA05G09270.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G001400,| Symbols: RPL22 | ribosomal protein L22 | chrC:83467-83949 REVERSE LENGTH=160
tr_16923,Module_19,-0.778571429,Phvul.005G027300,noncoding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G027300,None
tr_10207,Module_19,-0.782142857,Phvul.009G118500,coding,GLYMA06G00510.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G118500,"| Symbols: GSA2 | glutamate-1-semialdehyde 2,1-aminomutase 2 | chr3:18049697-18051550 FORWARD LENGTH=472"
tr_23811,Module_19,-0.784951279,Phvul.008G056400,noncoding,GLYMA18G47500.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G056400,None
tr_23942,Module_19,-0.785714286,Phvul.006G047900,coding,GLYMA08G43320.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G047900,| Symbols:  | zinc finger (CCCH-type) family protein / D111/G-patch domain-containing protein | chr2:10576993-10579154 REVERSE LENGTH=497
tr_21238,Module_19,-0.78922137,Phvul.007G156200,noncoding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G156200,None
tr_12007,Module_19,-0.796428571,Phvul.008G027800,coding,GLYMA08G27680.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G027800,"| Symbols: AGL8, FUL | AGAMOUS-like 8 | chr5:24502736-24506013 REVERSE LENGTH=242"
tr_18299,Module_19,-0.803571429,Phvul.006G115600,coding,GLYMA03G42040.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G115600,| Symbols:  | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr2:19139071-19140546 REVERSE LENGTH=491
tr_791,Module_19,-0.809651798,Phvul.003G045300,coding,GLYMA01G06110.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G045300,"| Symbols: PQL1, PQL2 | PsbQ-like 2 | chr1:4839885-4840632 FORWARD LENGTH=190"
tr_661,Module_19,-0.814285714,Phvul.006G185700,coding,GLYMA13G31320.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G185700,| Symbols:  | phosphoglycerate/bisphosphoglycerate mutase family protein | chr5:7517731-7520223 REVERSE LENGTH=482
tr_14075,Module_19,-0.821428571,Phvul.004G120200,coding,GLYMA09G26630.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G120200,| Symbols: IQD23 | IQ-domain 23 | chr5:24930057-24932451 REVERSE LENGTH=403
tr_16056,Module_19,-0.828571429,Phvul.002G131600,coding,GLYMA01G35170.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G131600,| Symbols: PAM68 | Protein of unknown function (DUF3464) | chr4:10453453-10454359 FORWARD LENGTH=214
tr_22932,Module_19,-0.828571429,Phvul.008G287400,coding,GLYMA02G47760.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G287400,| Symbols:  | unknown protein; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). | chr2:1679528-1680327 FORWARD LENGTH=164
tr_10161,Module_19,-0.835714286,Phvul.009G121200,coding,GLYMA06G11460.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G121200,| Symbols: PIP5K2 | phosphatidylinositol-4-phosphate 5-kinase 2 | chr1:29220632-29223861 FORWARD LENGTH=754
tr_234,Module_19,-0.846428571,Phvul.009G119300,coding,GLYMA04G00500.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G119300,"| Symbols: ATFP6, HIPP26, FP6 | farnesylated protein 6 | chr4:18034596-18035693 FORWARD LENGTH=153"
tr_26866,Module_2,0.835714286,Phvul.009G010000,coding,GLYMA17G38250.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G010000,| Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr4:7939611-7942898 REVERSE LENGTH=1064
tr_9704,Module_2,0.776440947,Phvul.007G272600,coding,GLYMA20G22010.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G272600,| Symbols: bHLH104 | basic helix-loop-helix (bHLH) DNA-binding superfamily protein | chr4:8300418-8301503 FORWARD LENGTH=277
tr_13989,Module_2,0.760567142,Phvul.005G124500,noncoding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G124500,None
tr_25666,Module_2,0.742857143,Phvul.006G205100,coding,GLYMA15G06030.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G205100,| Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr5:26080501-26082984 REVERSE LENGTH=220
tr_8735,Module_2,0.735714286,Phvul.006G072000,coding,GLYMA11G29280.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G072000,| Symbols:  | Glutaredoxin family protein | chr5:23660428-23661249 FORWARD LENGTH=273
tr_18291,Module_2,0.731010122,Phvul.011G019500,coding,GLYMA11G02220.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G019500,"| Symbols: ATCHX17, CHX17 | cation/H+ exchanger 17 | chr4:12342534-12345616 REVERSE LENGTH=820"
tr_12851,Module_2,0.721428571,Phvul.011G097400,coding,GLYMA12G09830.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G097400,"| Symbols:  | Polynucleotidyl transferase, ribonuclease H-like superfamily protein | chr3:15952213-15953055 REVERSE LENGTH=280"
tr_22873,Module_2,-0.721428571,Phvul.003G202200,coding,GLYMA04G35910.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G202200,| Symbols: EMB2759 | embryo defective 2759 | chr5:25293109-25294799 FORWARD LENGTH=345
tr_24854,Module_2,-0.721428571,Phvul.002G003700,coding,GLYMA01G40940.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G003700,"| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast, chloroplast envelope; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; Has 72 Blast hits to 72 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 72; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:22105853-22106146 REVERSE LENGTH=97"
tr_22415,Module_2,-0.725,Phvul.003G060000,coding,GLYMA07G09780.2,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G060000,| Symbols:  | unknown protein; Has 15 Blast hits to 15 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 15; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:6355711-6355984 FORWARD LENGTH=67
tr_5609,Module_2,-0.728571429,Phvul.003G0467000,,,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G0467000,
tr_14310,Module_2,-0.728571429,Phvul.007G147600,coding,GLYMA10G06190.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G147600,"| Symbols: MYB36, AtMYB36 | myb domain protein 36 | chr5:23334904-23336388 FORWARD LENGTH=333"
tr_16849,Module_2,-0.728571429,Phvul.007G053100,coding,GLYMA10G39730.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G053100,| Symbols: RIC10 | ROP-interactive CRIB motif-containing protein 10 | chr4:2486218-2487779 REVERSE LENGTH=156
tr_3184,Module_2,-0.732142857,Phvul.002G328300,coding,GLYMA05G33980.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G328300,| Symbols: MPK9 | MAP kinase 9 | chr3:6175741-6178150 FORWARD LENGTH=422
tr_4600,Module_2,-0.735714286,Phvul.003G231900,coding,GLYMA17G16890.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G231900,| Symbols: XTH6 | xyloglucan endotransglucosylase/hydrolase 6 | chr5:26299080-26300290 FORWARD LENGTH=292
tr_1915,Module_2,-0.739285714,Phvul.004G080600,noncoding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G080600,None
tr_10838,Module_2,-0.739285714,Phvul.007G272600,coding,GLYMA20G22010.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G272600,| Symbols: bHLH104 | basic helix-loop-helix (bHLH) DNA-binding superfamily protein | chr4:8300418-8301503 FORWARD LENGTH=277
tr_2510,Module_2,-0.742857143,Phvul.006G092800,coding,GLYMA03G39870.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G092800,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:20459011-20460417 FORWARD LENGTH=335
tr_19188,Module_2,-0.742857143,Phvul.008G261900,coding,GLYMA02G39100.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G261900,| Symbols:  | RNA recognition motif (RRM)-containing protein | chr3:17351334-17352769 REVERSE LENGTH=352
tr_5521,Module_2,-0.761193481,Phvul.009G244900,,,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G244900,
tr_7963,Module_2,-0.764285714,Phvul.010G043000,coding,GLYMA07G13450.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.010G043000,| Symbols:  | Protein of unknown function (DUF581) | chr4:9833948-9834663 REVERSE LENGTH=159
tr_9064,Module_2,-0.767857143,Phvul.003G296500,coding,GLYMA07G32980.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G296500,| Symbols:  | basic helix-loop-helix (bHLH) DNA-binding superfamily protein | chr1:1716198-1717023 FORWARD LENGTH=149
tr_15708,Module_2,-0.77033096,Phvul.002G084400,noncoding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G084400,None
tr_13029,Module_2,-0.771428571,Phvul.003G198200,coding,GLYMA05G01970.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G198200,| Symbols:  | hypoxia-responsive family protein / zinc finger (C3HC4-type RING finger) family protein | chr3:17725410-17727954 REVERSE LENGTH=349
tr_2230,Module_2,-0.775,Phvul.009G203400,coding,GLYMA06G22650.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G203400,"| Symbols: AGL8, FUL | AGAMOUS-like 8 | chr5:24502736-24506013 REVERSE LENGTH=242"
tr_3861,Module_2,-0.775,Phvul.007G226100,coding,GLYMA19G37230.2,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G226100,| Symbols: VPS37-1 | Modifier of rudimentary (Mod(r)) protein | chr3:19690729-19692490 REVERSE LENGTH=217
tr_6156,Module_2,-0.789285714,Phvul.002G296300,,,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G296300,
tr_22624,Module_2,-0.789285714,Phvul.006G174300,coding,GLYMA13G30030.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G174300,None
tr_22296,Module_2,-0.79857228,Phvul.007G134300,noncoding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G134300,None
tr_24011,Module_2,-0.810714286,Phvul.001G249900,coding,GLYMA18G02330.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G249900,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr5:3144254-3145643 FORWARD LENGTH=279
tr_5334,Module_2,-0.832142857,Phvul.008G256200,coding,GLYMA07G00560.2,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G256200,| Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr3:7442873-7445231 REVERSE LENGTH=339
tr_17755,Module_20,0.85,Phvul.008G057900,coding,GLYMA18G47360.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G057900,"| Symbols: LEA14, LSR3 | Late embryogenesis abundant protein | chr1:172295-172826 REVERSE LENGTH=151"
tr_21646,Module_20,0.842857143,Phvul.007G068900,coding,GLYMA10G38150.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G068900,"| Symbols: MSBP1, ATMP1, AtMAPR5 | membrane steroid binding protein 1 | chr5:21213121-21214557 FORWARD LENGTH=220"
