transcript,met_module,cor,gene_id,region_soy,blast_soy,blast_ara,Phytozome_link
tr_1964,Module_15,0.75,Phvul.003G280900,coding,GLYMA02G13540.1,| Symbols: ACR4 | ACT domain repeat 4 | chr1:25957843-25960079 FORWARD LENGTH=455,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G280900
tr_2283,Module_15,0.746428571,Phvul.006G187200,coding,GLYMA15G07890.2,| Symbols:  | RING/U-box superfamily protein | chr5:23742733-23744324 FORWARD LENGTH=242,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G187200
tr_18320,Module_15,0.746428571,Phvul.007G082800,coding,GLYMA20G30920.1,| Symbols:  | Protein of unknown function (DUF3511) | chr4:6218501-6218764 FORWARD LENGTH=87,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G082800
tr_26625,Module_15,0.746428571,Phvul.011G002500,coding,GLYMA12G00430.1,"| Symbols:  | Oxidoreductase, zinc-binding dehydrogenase family protein | chr4:7600682-7602567 FORWARD LENGTH=329",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G002500
tr_9560,Module_15,0.742857143,Phvul.006G075900,coding,GLYMA18G06210.1,| Symbols:  | Peroxidase superfamily protein | chr5:23599755-23601244 REVERSE LENGTH=316,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G075900
tr_10668,Module_15,0.742857143,Phvul.004G034100,noncoding,GLYMA13G05940.5,| Symbols: ATGP4 | Ubiquitin family protein | chr4:12849973-12851249 REVERSE LENGTH=118,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G034100
tr_4112,Module_15,0.741940827,Phvul.002G306200,coding,GLYMA05G36100.1,| Symbols: MIOX2 | myo-inositol oxygenase 2 | chr2:8531106-8533354 REVERSE LENGTH=317,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G306200
tr_5047,Module_15,0.735714286,Phvul.010G086800,coding,GLYMA07G09000.1,| Symbols:  | D-isomer specific 2-hydroxyacid dehydrogenase family protein | chr1:4274649-4275831 FORWARD LENGTH=323,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.010G086800
tr_11179,Module_15,0.728571429,Phvul.007G002600,coding,GLYMA08G47720.2,| Symbols:  | Eukaryotic protein of unknown function (DUF914) | chr3:21928971-21931030 REVERSE LENGTH=333,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G002600
tr_17976,Module_15,0.728571429,Phvul.009G092300,coding,GLYMA04G07000.1,| Symbols:  | Protein kinase superfamily protein | chr4:15570285-15572528 REVERSE LENGTH=611,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G092300
tr_22731,Module_15,0.728571429,Phvul.007G011500,coding,GLYMA20G23210.4,| Symbols:  | Ras-related small GTP-binding family protein | chr5:24107450-24109049 REVERSE LENGTH=216,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G011500
tr_538,Module_15,0.725,Phvul.010G011900,coding,GLYMA01G25710.1,"| Symbols: LSN, PNY, HB-6, BLR, RPL, BLH9, VAN | POX (plant homeobox) family protein | chr5:395754-398872 FORWARD LENGTH=575",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.010G011900
tr_11242,Module_15,0.725,Phvul.006G088600,coding,GLYMA19G42000.1,| Symbols:  | alpha/beta-Hydrolases superfamily protein | chr3:1623485-1624704 REVERSE LENGTH=331,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G088600
tr_27162,Module_15,0.725,Phvul.004G060100,coding,GLYMA05G24120.1,"| Symbols: ATRABB1B, ATGB2, ATRAB2C, GB2 | GTP-binding 2 | chr4:16987118-16988839 REVERSE LENGTH=211",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G060100
tr_15272,Module_15,0.717857143,Phvul.008G001400,coding,GLYMA08G47570.1,| Symbols: PBS1 | Protein kinase superfamily protein | chr5:4176854-4179682 FORWARD LENGTH=456,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G001400
tr_16679,Module_15,0.717857143,Phvul.006G171400,noncoding,GLYMA15G09330.1,| Symbols:  | RING/FYVE/PHD-type zinc finger family protein | chr1:10432736-10435046 FORWARD LENGTH=496,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G171400
tr_8203,Module_15,0.714285714,Phvul.010G024400,coding,GLYMA16G10750.1,| Symbols: FKBP15-2 | FK506- and rapamycin-binding protein 15 kD-2 | chr5:19696156-19697304 REVERSE LENGTH=163,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.010G024400
tr_21143,Module_15,0.714285714,Phvul.006G102900,coding,GLYMA03G40820.1,| Symbols: WDL1 | WVD2-like 1 | chr3:1259231-1260652 FORWARD LENGTH=286,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G102900
tr_8443,Module_15,0.711349703,Phvul.006G150000,coding,GLYMA13G27510.2,"| Symbols:  | Protein of unknown function, DUF584 | chr1:3945852-3946457 FORWARD LENGTH=201",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G150000
tr_6363,Module_15,0.710714286,Phvul.007G008000,coding,GLYMA20G38630.1,"| Symbols: NFU4, ATNFU2 | NFU domain protein 4 | chr3:7348277-7350069 FORWARD LENGTH=283",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G008000
tr_20925,Module_15,0.707142857,Phvul.002G219900,coding,GLYMA08G06550.1,| Symbols:  | S-locus lectin protein kinase family protein | chr1:3841286-3844284 FORWARD LENGTH=845,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G219900
tr_6828,Module_15,0.703777588,Phvul.009G178800,,,,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G178800
tr_5725,Module_15,0.703571429,Phvul.003G115100,,,,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G115100
tr_10126,Module_15,0.703571429,Phvul.003G195700,coding,GLYMA17G10250.1,| Symbols:  | Homeodomain-like superfamily protein | chr1:28116201-28117317 REVERSE LENGTH=265,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G195700
tr_9560,Module_16,0.839285714,Phvul.006G075900,coding,GLYMA18G06210.1,| Symbols:  | Peroxidase superfamily protein | chr5:23599755-23601244 REVERSE LENGTH=316,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G075900
tr_7588,Module_16,0.807142857,Phvul.006G075900,coding,GLYMA11G30010.1,| Symbols:  | Peroxidase superfamily protein | chr5:23605357-23606967 REVERSE LENGTH=325,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G075900
tr_17976,Module_16,0.785714286,Phvul.009G092300,coding,GLYMA04G07000.1,| Symbols:  | Protein kinase superfamily protein | chr4:15570285-15572528 REVERSE LENGTH=611,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G092300
tr_27080,Module_16,0.75,Phvul.010G009400,coding,GLYMA01G25890.1,| Symbols:  | Major facilitator superfamily protein | chr3:19978306-19980886 REVERSE LENGTH=602,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.010G009400
tr_12163,Module_16,0.739285714,Phvul.009G063900,noncoding,None,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G063900
tr_10421,Module_16,0.717857143,Phvul.004G131600,coding,GLYMA09G28410.1,| Symbols:  | oxidoreductases | chr4:10988391-10989733 FORWARD LENGTH=241,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G131600
tr_4298,Module_16,0.710714286,Phvul.008G260300,coding,GLYMA14G37400.1,"| Symbols: ATNDI1, NDA1 | alternative  NAD(P)H dehydrogenase 1 | chr1:2204414-2206773 FORWARD LENGTH=510",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G260300
tr_15644,Module_16,0.709562392,Phvul.001G086300,coding,GLYMA16G05430.1,| Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr3:9850594-9852682 FORWARD LENGTH=659,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G086300
tr_1635,Module_16,0.703571429,Phvul.004G162200,coding,GLYMA07G09640.1,"| Symbols: ALDH2C4, ALDH1A, REF1 | aldehyde dehydrogenase 2C4 | chr3:8919732-8923029 REVERSE LENGTH=501",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G162200
tr_8468,Module_17,0.835714286,Phvul.003G010700,coding,GLYMA07G21100.1,"| Symbols: AOS, CYP74A, DDE2 | allene oxide synthase | chr5:17097803-17099359 REVERSE LENGTH=518",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G010700
tr_17301,Module_17,0.814285714,Phvul.002G298100,coding,GLYMA01G43490.1,| Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G24165.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr4:12419472-12420240 FORWARD LENGTH=77,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G298100
tr_13094,Module_17,0.810714286,Phvul.007G276500,coding,None,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G276500
tr_15825,Module_17,0.810714286,Phvul.010G102900,coding,GLYMA16G03660.4,| Symbols:  | coenzyme Q biosynthesis Coq4 family protein / ubiquinone biosynthesis Coq4 family protein | chr2:1122122-1123011 REVERSE LENGTH=226,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.010G102900
tr_26042,Module_17,0.8,Phvul.002G292000,coding,GLYMA05G37550.3,"| Symbols: BLH2, SAW1 | BEL1-like homeodomain 2 | chr4:17369423-17373723 FORWARD LENGTH=739",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G292000
tr_19221,Module_17,0.796428571,Phvul.002G055700,coding,GLYMA01G41520.1,"| Symbols: ATERF-1, ERF-1 | ethylene responsive element binding factor 1 | chr4:9759405-9760211 FORWARD LENGTH=268",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G055700
tr_1244,Module_17,0.789285714,Phvul.001G031600,coding,GLYMA14G10290.2,"| Symbols: XF1, SQE1 | FAD/NAD(P)-binding oxidoreductase family protein | chr1:21714094-21717246 REVERSE LENGTH=531",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G031600
tr_18957,Module_17,0.785714286,Phvul.002G019300,coding,GLYMA11G06030.1,| Symbols:  | Calcium-binding EF-hand family protein | chr2:6831024-6831587 FORWARD LENGTH=187,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G019300
tr_24865,Module_17,0.782142857,Phvul.008G050200,coding,GLYMA09G38150.1,| Symbols:  | Thioesterase/thiol ester dehydrase-isomerase superfamily protein | chr5:19598666-19600512 REVERSE LENGTH=438,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G050200
tr_25839,Module_17,0.782142857,Phvul.003G214500,coding,GLYMA05G03890.1,| Symbols:  | alpha/beta-Hydrolases superfamily protein | chr4:7284645-7287348 FORWARD LENGTH=392,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G214500
tr_6392,Module_17,0.775,Phvul.001G040300,coding,GLYMA17G34160.1,| Symbols:  | Concanavalin A-like lectin protein kinase family protein | chr5:3324978-3326933 REVERSE LENGTH=651,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G040300
tr_11541,Module_17,0.775,Phvul.008G021300,coding,GLYMA18G51470.1,| Symbols:  | unknown protein; Has 16 Blast hits to 16 proteins in 6 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 16; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:6825678-6825872 REVERSE LENGTH=64,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G021300
tr_22581,Module_17,0.771428571,Phvul.011G101800,coding,GLYMA06G46430.1,| Symbols:  | alpha/beta-Hydrolases superfamily protein | chr2:13805823-13807442 REVERSE LENGTH=239,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G101800
tr_25203,Module_17,0.767857143,Phvul.003G146900,coding,GLYMA17G07170.1,"| Symbols: 4CL1, 4CL.1, AT4CL1 | 4-coumarate:CoA ligase 1 | chr1:19159007-19161464 REVERSE LENGTH=561",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G146900
tr_648,Module_17,0.767030017,Phvul.001G170200,coding,GLYMA03G32990.1,| Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G18692.1); Has 42 Blast hits to 42 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 42; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:19883986-19885568 FORWARD LENGTH=194,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G170200
tr_23336,Module_17,0.764285714,Phvul.008G053300,coding,GLYMA18G47850.1,"| Symbols: TRXF2, ATF2 | thioredoxin F2 | chr5:5363905-5365249 REVERSE LENGTH=185",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G053300
tr_8754,Module_17,0.760714286,Phvul.008G151900,coding,GLYMA16G08060.1,| Symbols:  | UDP-Glycosyltransferase superfamily protein | chr2:7316938-7319022 FORWARD LENGTH=478,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G151900
tr_14426,Module_17,0.760714286,Phvul.011G127500,coding,GLYMA12G15560.1,| Symbols:  | DNAJ heat shock N-terminal domain-containing protein | chr2:17793404-17795419 FORWARD LENGTH=344,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G127500
tr_20828,Module_17,0.759607095,Phvul.002G007000,noncoding,None,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G007000
tr_746,Module_17,0.757142857,Phvul.003G045400,noncoding,GLYMA01G42730.3,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G045400
tr_2879,Module_17,0.757142857,Phvul.011G038700,coding,GLYMA12G04110.1,"| Symbols: ATPLT5, PMT5, ATPMT5 | polyol/monosaccharide transporter 5 | chr3:6489000-6491209 REVERSE LENGTH=539",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G038700
tr_12551,Module_17,0.757142857,Phvul.011G080400,coding,GLYMA09G00500.1,| Symbols:  | indigoidine synthase A family protein | chr1:18716578-18719060 FORWARD LENGTH=330,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G080400
tr_218,Module_17,0.75,Phvul.011G049600,coding,GLYMA11G13070.1,"| Symbols: AOS, CYP74A, DDE2 | allene oxide synthase | chr5:17097803-17099359 REVERSE LENGTH=518",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G049600
tr_3958,Module_17,0.75,Phvul.008G233200,coding,GLYMA14G39150.1,| Symbols:  | ARM repeat superfamily protein | chr5:14762730-14764097 FORWARD LENGTH=180,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G233200
tr_1021,Module_17,0.74808927,Phvul.005G107800,coding,GLYMA12G32770.1,| Symbols:  | Wound-responsive family protein | chr4:13997979-13998239 REVERSE LENGTH=86,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G107800
tr_26852,Module_17,0.746428571,Phvul.001G253900,coding,GLYMA11G37930.1,| Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G72240.1); Has 1693 Blast hits to 236 proteins in 54 species: Archae - 0; Bacteria - 8; Metazoa - 451; Fungi - 116; Plants - 94; Viruses - 2; Other Eukaryotes - 1022 (source: NCBI BLink). | chr1:7932908-7933348 REVERSE LENGTH=146,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G253900
tr_12666,Module_17,0.735714286,Phvul.010G149000,coding,GLYMA07G02260.1,| Symbols:  | D-isomer specific 2-hydroxyacid dehydrogenase family protein | chr1:30044794-30045851 FORWARD LENGTH=313,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.010G149000
tr_12771,Module_17,0.735714286,Phvul.002G188200,coding,GLYMA08G09390.1,| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; Has 37 Blast hits to 37 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 36; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink). | chr1:17331263-17331726 FORWARD LENGTH=91,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G188200
tr_18139,Module_17,0.735714286,Phvul.002G193200,coding,GLYMA05G26100.1,| Symbols:  | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr2:14560266-14562695 FORWARD LENGTH=393,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G193200
tr_23823,Module_17,0.73217828,Phvul.009G118200,noncoding,None,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G118200
tr_1819,Module_17,0.732142857,Phvul.004G120700,coding,GLYMA09G26840.2,| Symbols:  | 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein | chr1:2025618-2027094 FORWARD LENGTH=365,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G120700
tr_12660,Module_17,0.728571429,Phvul.004G129600,coding,GLYMA09G28310.1,| Symbols:  | Kunitz family trypsin and protease inhibitor protein | chr1:6149343-6149933 FORWARD LENGTH=196,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G129600
tr_2009,Module_17,0.727392967,Phvul.002G035800,coding,GLYMA11G01650.1,| Symbols:  | Nuclear transport factor 2 (NTF2) family protein | chr1:26932079-26933086 FORWARD LENGTH=216,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G035800
tr_6837,Module_17,0.721428571,Phvul.009G008500,,,,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G008500
tr_25146,Module_17,0.721428571,Phvul.001G138800,noncoding,GLYMA03G29770.1,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G138800
tr_25336,Module_17,0.721428571,Phvul.004G118500,noncoding,None,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G118500
tr_1358,Module_17,0.717857143,Phvul.011G003200,coding,GLYMA12G00470.1,| Symbols:  | Leucine-rich receptor-like protein kinase family protein | chr1:27164074-27167204 FORWARD LENGTH=977,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G003200
tr_10104,Module_17,0.717857143,Phvul.002G078000,coding,GLYMA02G02650.1,| Symbols:  | Regulator of chromosome condensation (RCC1) family protein | chr1:9395023-9396673 FORWARD LENGTH=386,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G078000
tr_18505,Module_17,0.717857143,Phvul.005G001000,coding,GLYMA04G43470.1,"| Symbols: ATCSLG2, CSLG2 | cellulose synthase like G2 | chr4:12462142-12465471 FORWARD LENGTH=722",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G001000
tr_26895,Module_17,0.716711636,Phvul.001G127600,coding,GLYMA19G31470.1,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G127600
tr_15299,Module_17,0.715987748,Phvul.007G217100,noncoding,GLYMA10G01960.1,| Symbols: GATL7 | galacturonosyltransferase-like 7 | chr3:23173419-23174504 FORWARD LENGTH=361,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G217100
tr_4371,Module_17,0.714285714,Phvul.011G009100,coding,GLYMA12G01010.1,"| Symbols: ATARP7, ARP7 | actin-related protein 7 | chr3:22474298-22476000 FORWARD LENGTH=363",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G009100
tr_16099,Module_17,0.714285714,Phvul.004G132500,coding,GLYMA16G33280.1,| Symbols:  | catalytic LigB subunit of aromatic ring-opening dioxygenase family | chr4:8618454-8619472 FORWARD LENGTH=269,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G132500
tr_18658,Module_17,0.714285714,Phvul.011G127500,coding,GLYMA12G15560.1,| Symbols:  | DNAJ heat shock N-terminal domain-containing protein | chr2:17793404-17795419 FORWARD LENGTH=344,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G127500
tr_27158,Module_18,0.928571429,Phvul.004G094800,coding,GLYMA02G09000.1,| Symbols:  | Protein of unknown function (DUF793) | chr1:27982737-27983930 FORWARD LENGTH=397,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G094800
tr_19444,Module_18,0.882142857,Phvul.004G173600,coding,GLYMA07G15240.1,| Symbols:  | CCCH-type zinc finger family protein | chr2:8550419-8551498 FORWARD LENGTH=359,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G173600
tr_16310,Module_18,0.867857143,Phvul.010G135700,coding,GLYMA07G00900.1,"| Symbols: LOX1, ATLOX1 | lipoxygenase 1 | chr1:20525798-20530143 FORWARD LENGTH=859",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.010G135700
tr_8284,Module_18,0.832142857,Phvul.001G085200,coding,GLYMA16G05350.1,| Symbols: CCL | CCR-like | chr3:9827868-9828461 FORWARD LENGTH=141,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G085200
tr_13014,Module_18,0.796428571,Phvul.006G088600,coding,GLYMA19G42000.1,| Symbols:  | alpha/beta-Hydrolases superfamily protein | chr3:1623485-1624704 REVERSE LENGTH=331,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G088600
tr_22834,Module_18,0.796428571,Phvul.009G177800,coding,GLYMA15G09700.1,| Symbols: SCPL12 | serine carboxypeptidase-like 12 | chr2:9753938-9757227 FORWARD LENGTH=408,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G177800
tr_23988,Module_18,0.792857143,Phvul.001G260800,coding,GLYMA18G01130.1,| Symbols: emb1688 | Minichromosome maintenance (MCM2/3/5) family protein | chr1:25263905-25265551 REVERSE LENGTH=433,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G260800
tr_20001,Module_18,0.785714286,Phvul.007G279000,coding,GLYMA02G00440.1,"| Symbols: APG1, VTE3, IEP37, E37 | S-adenosyl-L-methionine-dependent methyltransferases superfamily protein | chr3:23415816-23417002 REVERSE LENGTH=338",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G279000
tr_18769,Module_18,0.782842136,Phvul.001G267800,coding,GLYMA18G00420.1,| Symbols:  | Sec23/Sec24 protein transport family protein | chr5:17539025-17541733 REVERSE LENGTH=794,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G267800
tr_4154,Module_18,0.775,Phvul.009G008900,coding,GLYMA04G01550.1,"| Symbols: ATPLT5, PMT5, ATPMT5 | polyol/monosaccharide transporter 5 | chr3:6489000-6491209 REVERSE LENGTH=539",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G008900
tr_23485,Module_18,0.775,Phvul.003G113400,coding,GLYMA17G03600.1,"| Symbols:  | Haem oxygenase-like, multi-helical | chr3:5795937-5796783 REVERSE LENGTH=221",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G113400
tr_26242,Module_18,0.775,Phvul.006G1814000,coding,GLYMA13G30780.1,| Symbols:  | Guanylate-binding family protein | chr5:18683468-18688397 FORWARD LENGTH=1082,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G1814000
tr_5212,Module_18,0.764285714,Phvul.002G173500,coding,GLYMA08G10990.2,| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF493 (InterPro:IPR007454); Has 79 Blast hits to 79 proteins in 23 species: Archae - 0; Bacteria - 6; Metazoa - 0; Fungi - 0; Plants - 72; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink). | chr1:9510475-9512820 REVERSE LENGTH=254,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G173500
tr_5670,Module_18,0.764285714,Phvul.002G313700,,,,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G313700
tr_25777,Module_18,0.764285714,Phvul.001G038400,coding,GLYMA17G34380.1,"| Symbols: ER, QRP1 | Leucine-rich receptor-like protein kinase family protein | chr2:11208367-11213895 REVERSE LENGTH=976",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G038400
tr_7345,Module_18,0.760714286,Phvul.010G134800,noncoding,GLYMA08G20220.1,| Symbols: LOX5 | PLAT/LH2 domain-containing lipoxygenase family protein | chr3:7927011-7931167 FORWARD LENGTH=886,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.010G134800
tr_3513,Module_18,0.753571429,Phvul.008G016100,coding,GLYMA18G52210.1,| Symbols:  | Small nuclear ribonucleoprotein family protein | chr4:1264726-1266253 FORWARD LENGTH=116,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G016100
tr_10555,Module_18,0.753571429,Phvul.011G183400,coding,GLYMA08G24720.1,| Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr5:10024813-10025382 FORWARD LENGTH=166,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G183400
tr_20593,Module_18,0.753571429,Phvul.008G166100,coding,GLYMA08G32320.1,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G166100
